bedrooms,bathrooms,area,zipcode,mosaic_image,price
4,4,4053,85255,0.png,869500
4,3,3343,36372,1.png,865200
3,4,3923,85266,2.png,889000
5,5,4022,85262,3.png,910000
3,4,4116,85266,4.png,971226
4,5,4581,85266,5.png,1249000
3,4,2544,85262,6.png,799000
4,5,5524,85266,7.png,1698000
3,4,4229,85255,8.png,1749000
4,5,3550,85262,9.png,1500000
5,5,4829,85266,10.png,519200
4,4,3428,85255,11.png,1039000
5,3,5462,85266,12.png,799000
4,4,4021,85266,13.png,889000
5,5,4406,85266,14.png,700000
4,4,3721,85255,15.png,500000
5,3,3710,85331,16.png,740000
3,4,2748,85255,17.png,725000
5,4,4190,85255,18.png,1199000
3,3.5,4143,85266,19.png,925000
3,3.5,4229,85255,20.png,1749000
6,6.5,5963,85262,21.png,1595000
3,3,2685,85255,22.png,799900
5,5,5677,85377,23.png,1375000
4,4.5,4031,85262,24.png,1345000
4,4,4954,85262,25.png,1290000
4,4.5,3550,85262,26.png,962500
5,4.5,4180,85266,27.png,875000
4,4,4464,85377,28.png,1650000
5,4.5,4829,85266,29.png,1199000
5,3,2520,93446,30.png,789000
4,3.5,3428,85255,31.png,1039000
3,2,1802,93446,32.png,365000
3,3.5,2873,85262,33.png,1695000
4,4,3260,85377,34.png,999000
3,4.5,3893,85255,35.png,1294000
5,5.5,3932,85262,36.png,1089000
3,3.5,2792,85255,37.png,799900
3,4.5,4228,85255,38.png,1229000
3,3,2146,93446,39.png,455000
4,1,9583,98021,40.png,395000
5,2,7627,98021,41.png,638940
3,2,2153,98021,42.png,435000
3,2.5,2014,98021,43.png,528800
4,2,1928,81524,44.png,350000
3,3,2134,81524,45.png,425000
4,3,2504,81524,46.png,500000
3,3,2462,81524,47.png,589900
4,3,3904,81418,48.png,419000
3,2,2034,81418,49.png,415000
3,2,1594,81521,50.png,214900
4,2,2957,81524,51.png,699900
3,3,1894,81524,52.png,449000
4,2,2128,81524,53.png,249900
5,3,3267,81524,54.png,595999
3,3,2836,81524,55.png,535000
4,3,2174,81524,56.png,439900
3,2,1508,81524,57.png,450000
3,2,2288,62214,58.png,196000
3,2,1709,62234,59.png,104900
3,2.5,1776,62034,60.png,209900
5,3.5,4560,62025,61.png,520000
4,3,2686,62025,62.png,249900
3,2,1201,62088,63.png,119000
4,2.5,2850,62234,64.png,218000
4,3.5,3768,62234,65.png,254900
3,2.5,2750,62234,66.png,219500
4,3,2851,62234,67.png,186500
4,1.5,1254,62234,68.png,94500
4,4.5,3740,62249,69.png,339900
3,2.5,3233,62234,70.png,259000
3,2,2288,62214,71.png,196000
4,3,2256,62214,72.png,144900
3,2,2154,60002,73.png,349900
4,3.5,2116,60002,74.png,229000
3,2,1600,62214,75.png,184900
3,2.5,2172,60002,76.png,225000
4,2.5,3316,60046,77.png,289900
4,2,7841,60016,78.png,299000
3,2,1200,60016,79.png,224900
4,2.5,2464,91901,80.png,599000
2,2,1845,91901,81.png,529800
2,1,1184,91901,82.png,397500
4,2.5,3060,91901,83.png,699999
3,2.5,2733,91901,84.png,689000
3,2,1706,91901,85.png,529000
5,4.5,4886,91901,86.png,1430000
4,3.5,3029,91901,87.png,825000
4,2.5,2620,91901,88.png,619000
7,4,2929,91901,89.png,625000
4,3.5,3328,91901,90.png,1095000
3,2,2250,91901,91.png,625000
3,2.5,2836,91901,92.png,979000
2,2.5,1499,91901,93.png,539000
3,2,960,91901,94.png,65000
3,2,2671,91901,95.png,521500
5,3,3747,91901,96.png,925000
3,2.5,1675,91901,97.png,470000
4,2.5,3115,93446,98.png,629000
4,3.5,3426,91901,99.png,679000
3,2,1288,91901,100.png,549000
4,4,4042,91901,101.png,769000
2,2,1005,91901,102.png,245900
4,2.5,2726,91901,103.png,644900
3,3,1937,91901,104.png,895000
3,2.5,2445,91901,105.png,699000
3,2,1826,93446,106.png,529000
4,3.5,1084,91901,107.png,875000
4,3,3706,91901,108.png,848000
5,4.5,4874,91901,109.png,1499000
4,3,3277,91901,110.png,669000
3,3.5,4289,91901,111.png,1195000
5,3.5,3778,91901,112.png,949000
4,3,1613,91901,113.png,749900
3,2,1382,92021,114.png,429900
3,2.5,3300,92021,115.png,935000
4,2,1771,92021,116.png,475000
3,2.5,1915,92021,117.png,485000
3,2.5,1680,92021,118.png,389000
4,2,1696,92021,119.png,379000
4,2,2150,92021,120.png,578000
3,2,1611,92021,121.png,575000
5,3,4200,92021,122.png,799000
4,2.5,2319,92021,123.png,699800
4,4.5,3885,92021,124.png,825500
6,6.5,7000,92677,125.png,3850000
4,2.5,6000,92677,126.png,869000
2,2.5,915,92677,127.png,347000
4,3,2965,92677,128.png,1349000
3,3,1825,92677,129.png,685000
4,3.5,3100,92677,130.png,1499999
3,2,1235,92677,131.png,469900
3,2.5,2248,92677,132.png,1199000
7,7,3265,92677,133.png,1200000
2,1,839,92677,134.png,324999
4,3.5,2441,92677,135.png,895500
3,3.5,2800,92677,136.png,1399999
1,1,800,92677,137.png,335000
2,2,1171,92677,138.png,389900
2,2,1935,92677,139.png,738000
3,2.5,1819,92677,140.png,798800
3,2.5,1950,92677,141.png,895000
3,2,1303,92677,142.png,619000
4,3,2614,92677,143.png,1045000
3,2.5,2141,92677,144.png,750000
3,2.5,1655,92677,145.png,649900
3,2.5,2225,92677,146.png,949000
3,2.5,2125,92677,147.png,728000
5,3.5,4245,92677,148.png,1895000
4,4.5,4038,92677,149.png,1795000
5,4,3489,92677,150.png,1650000
3,2.5,1808,96019,151.png,219800
2,2,1056,96019,152.png,22000
4,2,1881,96019,153.png,245000
3,1,1132,96019,154.png,170000
3,2,1372,96019,155.png,178000
3,2,1560,96019,156.png,1795000
3,2,1306,96019,157.png,239900
3,2,1736,96019,158.png,239900
4,3.5,2900,96019,159.png,449900
4,2,1768,96019,160.png,279900
3,2,1008,96019,161.png,164000
3,2,1696,96019,162.png,319500
4,2.5,1580,95220,163.png,475000
4,3,2462,95220,164.png,915000
4,3,3548,95220,165.png,824999
4,2.5,2508,95220,166.png,699700
4,3,1909,95220,167.png,649000
3,2.5,3467,95220,168.png,1449000
3,3.5,3172,95220,169.png,899900
4,3.5,4838,95220,170.png,1999999
4,3,2840,95220,171.png,799900
4,3.5,5050,95220,172.png,1600000
3,2,1299,94501,173.png,739000
2,1,1065,94501,174.png,629000
1,1,701,94501,175.png,339000
2,2,1313,94501,176.png,750000
3,2,2078,94501,177.png,888000
3,1.5,1524,94501,178.png,749000
3,2,1789,94501,179.png,895000
2,1.5,1120,94501,180.png,435000
3,2.5,2185,94501,181.png,490000
3,1.5,1253,94501,182.png,599000
2,1,766,94501,183.png,598000
5,3.5,2879,94501,184.png,1327685
6,4,3492,94501,185.png,1495000
4,3.5,3485,94501,186.png,1895000
4,2,1634,94501,187.png,899000
4,2.5,2020,94501,188.png,825000
3,1.5,1364,94501,189.png,729000
4,2.5,2300,94501,190.png,1188000
2,2,951,94501,191.png,538800
3,2,1490,94501,192.png,949000
2,1,834,94501,193.png,549000
2,1,805,94501,194.png,625000
1,1,766,94501,195.png,349000
2,2,994,94501,196.png,479000
3,2.5,1665,94501,197.png,875000
3,1.5,1581,94501,198.png,895000
3,2.5,1652,94501,199.png,649000
2,1.5,1056,94501,200.png,739000
2,2.5,1772,93446,201.png,499000
3,3,2361,94501,202.png,988000
3,3.5,2724,94501,203.png,1150000
2,1,1110,94501,204.png,649000
2,1,1016,94501,205.png,679000
3,2,1413,94501,206.png,619000
5,4,3743,94501,207.png,1295000
3,2,2504,94501,208.png,895000
3,3,1864,94501,209.png,995888
5,3,3122,94501,210.png,899000
3,2.5,1678,94501,211.png,668000
2,1,1134,94501,212.png,599000
3,1.5,1581,94501,213.png,895000
4,2.5,1602,94501,214.png,949000
4,3.5,3651,93111,215.png,1749000
5,4.5,5000,93111,216.png,4000000
3,2,1368,93111,217.png,599999
4,2,1426,93111,218.png,949000
3,2,1447,93111,219.png,1080000
4,2,2304,93111,220.png,1495000
2,2,1716,93105,221.png,895000
3,2,1796,93111,222.png,897000
4,4.5,2844,93111,223.png,1595000
3,3.5,1876,93111,224.png,1149000
3,2,1475,93111,225.png,769000
3,3.5,3136,93111,226.png,2150000
5,3,3188,92880,227.png,567500
5,5,3701,92880,228.png,579000
5,5,4749,92880,229.png,749000
5,4,4014,92880,230.png,699000
6,4,4311,92880,231.png,695000
5,4,2809,92880,232.png,635900
6,4,3635,92880,233.png,585000
8,6,3849,92880,234.png,580000
4,4,3773,91752,235.png,579000
4,3,3214,92880,236.png,547900
5,3,3677,92880,237.png,570000
5,3,3200,92880,238.png,568000
5,4,3270,92880,239.png,560000
5,5,4074,92880,240.png,550000
4,3,2951,92880,241.png,549999
5,4,3500,92880,242.png,545000
5,3,2622,92880,243.png,539900
5,3,3034,92880,244.png,539800
6,4,3375,92880,245.png,538000
5,3,3340,92880,246.png,534977
5,3,3075,92880,247.png,534888
5,3,3013,92880,248.png,530000
4,3,3000,92880,249.png,529900
4,3,3141,92880,250.png,529999
4,3,2650,92880,251.png,529900
5,3,3054,92543,252.png,284900
2,3,1627,92253,253.png,550000
1,1,840,94568,254.png,303590
3,2.5,2295,90211,255.png,1500000
8,6,5900,92040,256.png,1350000
4,2,1512,93720,257.png,89900
5,3.5,3149,92880,258.png,515000
3,3,2100,92692,259.png,700200
4,3,2530,93924,260.png,1150000
4,3,2287,90265,261.png,1695000
2,2,1503,92692,262.png,664900
3,2,1209,92253,263.png,250000
4,2,2250,93314,264.png,310000
6,4,4311,92880,265.png,695000
4,4,2460,90038,266.png,1550000
5,3,3514,92880,267.png,649990
4,3,2257,90803,268.png,1299000
4,3,2870,92880,269.png,489000
3,1.5,1400,95008,270.png,999000
5,3,2533,94565,271.png,540000
4,3,3010,92880,272.png,490000
3,2.5,1321,91915,273.png,360000
3,3,1905,92880,274.png,448000
6,4,4311,92880,275.png,669472
4,3,2825,91752,276.png,549900
4,3,2579,92880,277.png,520000
4,4,2893,92880,278.png,520000
4,3,3099,92880,279.png,519900
4,5,3307,92880,280.png,519900
3,3,2367,92880,281.png,529000
5,4,3972,91752,282.png,525000
4,3,3010,92880,283.png,525000
5,5,3816,92880,284.png,589900
2,2,1152,92276,285.png,96900
2,1.5,1800,92276,286.png,163000
2,2,2036,92276,287.png,175000
2,2,1344,92276,288.png,98000
2,1,1100,92276,289.png,36000
2,2,1248,92276,290.png,115000
2,2,1380,92276,291.png,125000
2,2,960,92276,292.png,100000
3,2,1368,92276,293.png,193000
3,2,2788,92276,294.png,385000
5,3.25,3149,92880,295.png,515000
4,5,3834,92880,296.png,530000
5,3,3767,92880,297.png,567000
5,3.5,3149,92880,298.png,500000
5,4,3565,92880,299.png,537000
6,3.5,3615,92880,300.png,647000
5,5,4014,92880,301.png,542000
5,5,3834,92880,302.png,565000
4,3,3572,92880,303.png,535000
4,3,2870,92880,304.png,489000
4,3,2570,92880,305.png,510000
4,2.5,2285,93510,306.png,560000
3,2,2691,93510,307.png,675000
3,2.5,2490,93510,308.png,450000
3,2,2160,93510,309.png,409900
3,2.5,2326,93510,310.png,553000
3,2.5,2260,93510,311.png,470000
3,1,1337,93510,312.png,335000
2,1,884,93510,313.png,400000
4,3,2987,93510,314.png,615000
3,2,1476,93510,315.png,485000
5,3,2983,93510,316.png,479000
5,4,3198,93510,317.png,695000
3,2,1236,93510,318.png,221000
4,2,1797,93510,319.png,450000
3,2,1404,93510,320.png,195000
3,2,1248,93510,321.png,240000
5,3,3167,93510,322.png,599900
6,4,3705,93510,323.png,765000
4,2.5,2362,93510,324.png,539900
4,2,2252,93510,325.png,585000
3,2,2752,93510,326.png,570000
4,2,2160,93510,327.png,384000
3,4,3312,93510,328.png,759000
3,2,2315,93510,329.png,499000
2,2,1344,92276,330.png,154900
2,2,1820,92276,331.png,225000
2,2,1152,92276,332.png,138500
2,2,1440,92276,333.png,97500
2,2,2015,92276,334.png,219000
2,2,1248,92276,335.png,103500
2,2,1598,92276,336.png,136900
2,2,1176,92276,337.png,135000
2,2.5,960,92276,338.png,135000
3,2,1482,92276,339.png,158888
2,2,1152,92276,340.png,74900
2,2,1344,92276,341.png,69900
3,2,1248,92276,342.png,139500
3,2,1478,92276,343.png,219900
2,2,1152,92276,344.png,99900
2,2,1040,92276,345.png,59900
2,2,1000,92276,346.png,118900
2,2,1440,92276,347.png,106000
2,2,1344,92276,348.png,67500
2,2,1640,92276,349.png,104950
2,2,1578,92276,350.png,97000
2,2,1512,92276,351.png,98900
2,2,1152,92276,352.png,99900
2,1.5,1056,92276,353.png,79900
2,2,1930,92276,354.png,164900
2,2,1240,92276,355.png,117000
4,2,1866,92276,356.png,256000
2,2,960,92276,357.png,61000
2,2,1388,92276,358.png,167400
2,2,1152,92276,359.png,97500
2,1,960,92276,360.png,63500
3,2,1200,92276,361.png,225000
2,2,1440,92276,362.png,77000
2,2,1248,92276,363.png,114500
2,2,1152,92276,364.png,96500
2,2,960,92276,365.png,79900
3,2,1397,92276,366.png,248500
2,2,1248,92276,367.png,117500
2,2,1248,92276,368.png,79900
2,2,1344,92276,369.png,84900
2,2,1440,92276,370.png,84900
3,2.5,2644,92276,371.png,379500
2,2,1020,92276,372.png,74900
2,2,1600,92276,373.png,147000
2,2,2024,92276,374.png,214900
2,1,780,92276,375.png,67900
3,2,1397,92276,376.png,199000
2,2,1544,92276,377.png,124900
2,2,1368,92276,378.png,69800
2,2,1624,92276,379.png,185000
1,1.5,1440,92276,380.png,87500
2,2,1840,92276,381.png,160000
3,2,1454,92276,382.png,122500
2,2,1040,92276,383.png,67900
2,2,1281,92276,384.png,139000
2,2,1152,92276,385.png,84900
2,2,1152,92276,386.png,99000
2,2,1536,92276,387.png,69900
2,1,960,92276,388.png,49900
2,2,1440,92276,389.png,154500
2,2,1344,92276,390.png,129900
3,2,1507,92276,391.png,235000
3,2,1766,92276,392.png,129000
2,2,1440,92276,393.png,83900
2,2,1940,92276,394.png,129500
3,2,2971,93446,395.png,2395000
2,2,1468,92276,396.png,125000
2,3,1280,92276,397.png,69900
2,2,960,92276,398.png,69500
2,2,1640,92276,399.png,79500
2,2,1056,92276,400.png,68500
2,2,1344,92276,401.png,117500
3,2,1806,92276,402.png,179000
2,2,1344,92276,403.png,89500
2,2,1120,92276,404.png,72000
2,2,1344,92276,405.png,104900
3,2,1376,92276,406.png,174900
3,2,1440,92276,407.png,169900
2,2,1486,92276,408.png,154000
3,2,1560,92276,409.png,189000
2,2,1440,92276,410.png,62500
2,2,1722,92276,411.png,174500
2,2,1344,92276,412.png,139000
2,2,1248,92276,413.png,50000
2,2,1440,92276,414.png,94900
2,2,1020,92276,415.png,42900
2,1,1000,92276,416.png,67000
2,2,1440,92276,417.png,99900
2,2,1680,92276,418.png,69500
2,2,1440,92276,419.png,99000
2,2,1440,92276,420.png,110000
4,3,2454,93510,421.png,5858000
3,2,2346,93510,422.png,557000
4,4,3254,93510,423.png,674900
3,2,1448,93510,424.png,349000
3,2,1734,93510,425.png,265000
4,3.5,3381,93510,426.png,725000
4,2,2272,93510,427.png,559000
3,2,3326,93510,428.png,549000
3,2,1508,93510,429.png,449000
4,3,3631,93510,430.png,699900
3,2.5,2824,93510,431.png,569000
4,2,1966,93510,432.png,530000
3,2,1387,93510,433.png,395000
3,3,2522,93510,434.png,705000
3,2,2095,93510,435.png,479000
3,2,1932,93510,436.png,309900
4,3,3624,93510,437.png,698777
3,3,2848,93510,438.png,547900
3,2,1152,93510,439.png,425000
4,3,1625,93510,440.png,639000
4,2,1717,93510,441.png,494000
4,4,3220,93510,442.png,699000
5,3.5,3342,93510,443.png,639000
3,3,2800,93510,444.png,630000
3,3,2362,93510,445.png,541000
3,2,2061,93510,446.png,529000
4,4,3522,93510,447.png,680000
2,1,1320,93510,448.png,520000
3,3,2356,93510,449.png,710000
3,3,2808,93510,450.png,599999
2,2,1059,93510,451.png,445000
4,3,2774,93510,452.png,599500
3,2.5,1991,93510,453.png,515000
4,4,3030,93510,454.png,759000
4,2,1916,93510,455.png,549950
6,5,4090,93510,456.png,859000
3,2,1400,93446,457.png,139900
3,2,1939,93446,458.png,575000
4,3,2118,93446,459.png,489900
3,2,1940,93446,460.png,530000
10,6,4188,93446,461.png,629000
3,1.5,1080,93446,462.png,325000
3,2,1170,93446,463.png,235000
3,3,2390,93446,464.png,769000
3,2,1469,93446,465.png,299900
4,3,1496,93446,466.png,515000
4,2.5,2699,93446,467.png,629000
3,3,2136,93446,468.png,689000
5,2,2544,93446,469.png,599000
4,3.5,2090,93446,470.png,499000
2,2,1248,93446,471.png,175000
4,4,4600,93446,472.png,1250000
3,2,1712,93446,473.png,310000
3,2,1920,93446,474.png,625000
3,2,1705,93446,475.png,499500
2,2,1742,93446,476.png,975000
4,3.5,3101,93446,477.png,895000
2,2,1056,93446,478.png,179900
2,2,1190,93446,479.png,739900
3,2,1410,93446,480.png,330000
3,2,1822,93446,481.png,510000
3,2,2198,93446,482.png,625000
2,2,1088,93446,483.png,280000
2,2,1088,93446,484.png,265000
6,5.5,5000,93446,485.png,2200000
2,2,1088,93446,486.png,275000
2,2,900,93446,487.png,125000
2,2,1538,93446,488.png,699500
3,2,1640,93446,489.png,425000
3,2,2108,93446,490.png,439000
2,1,854,93446,491.png,179000
4,3,2617,93446,492.png,579500
6,4.5,4386,93446,493.png,759000
3,2,1570,93446,494.png,435000
2,2,1257,93446,495.png,380000
4,2,2072,93446,496.png,429900
2,2,2213,93446,497.png,585000
3,2.5,1500,93446,498.png,319000
4,4,3000,93446,499.png,1495000
3,2,2330,93446,500.png,599900
3,2.5,1339,93446,501.png,344900
3,2,1472,93446,502.png,309995
4,4,2681,93446,503.png,572000
3,2.5,1935,92802,504.png,695000
3,2,1471,92802,505.png,525000
3,2,1248,92802,506.png,78000
3,1.5,1214,92802,507.png,424900
4,3,1882,92802,508.png,825000
2,2.5,987,92802,509.png,475000
4,3,1606,92802,510.png,850000
3,2.5,1554,92802,511.png,409900
3,2.5,1717,92802,512.png,540000
4,2,1475,94531,513.png,385000
3,2,1052,94531,514.png,195000
4,3,2353,94531,515.png,458000
4,2.5,2422,94531,516.png,468000
3,2.5,2650,94531,517.png,458000
4,2.5,1831,94531,518.png,389000
4,2,2334,94531,519.png,460000
5,3,2179,94531,520.png,430000
4,2.5,1662,94531,521.png,329900
4,3,1765,94531,522.png,349900
3,2,2012,94531,523.png,454999
7,4,3871,94531,524.png,569950
5,3,3679,94531,525.png,525000
4,2.5,1794,94531,526.png,380000
4,3.5,3420,94531,527.png,550000
4,3,2506,94531,528.png,449950
4,2.5,2236,94531,529.png,495000
5,2,2066,94531,530.png,399900
4,3.5,9536,94531,531.png,460000
3,2,2014,94531,532.png,407000
4,3,2312,94531,533.png,419000
5,3,3796,94531,534.png,615000
